4-LETTER WORDS,5-LETTER WORDS,6-LETTER WORDS,7-LETTER WORDS,8-LETTER WORDS
spit vt.吐出；发出；发射,erode vi.侵蚀；受腐蚀,smooth adv.光滑地；平稳地；流畅地,distill vi.蒸馏；滴下；作为精华产生（等于distil）,sunshine n.晴天；快活
stab n.刺；戳,frown n.蹙额,smooth vi.变平静；变平滑,engrave vt.雕刻；铭记,symmetry n.匀称；对称（性）
stab n.尝试；突发的一阵,frown vt.蹙额,fluent adj.流利的；液态的；畅流的,enquire vi.询问；调查；问候（等于inquire）,symphony n.和声；交响乐
stab vt.刺；戳；刺伤,frown vi.皱眉；不同意,tablet n.碑；药片；小块,enquire vt.询问；打听,syndrome n.校验子；并发位
stab vi.刺；戳,glide vi.滑翔；滑行,tablet vt.用碑牌纪念；将…制成小片或小块；将(备忘录等)写在板上,erosion n.腐蚀,syndrome n.综合症状；并发症状
stab vi.刺伤；刺痛,glide vi.消逝；悄悄地走,thread n.线；螺纹；思路,grapple n.抓住；格斗,telegram n.电报
stir n.搅拌；轰动,glide vt.使滑行；使滑动,thread n.衣服；路线,grapple vi.抓住；格斗；抓斗机,telegram vt.用电报发送
stir vi.搅动；传播；走动,glide n.滑翔；滑行,thread n.线状物；玻璃纤维,grapple vt.抓住；与…格斗,telegram vi.发电报
stir vt.搅拌；激起；惹起,glide n.滑移；滑音,thread vt.穿过；穿线于；使交织,inhibit vt.抑制；禁止,training n.训练；培养
tail n.尾巴；踪迹,graze n.放牧；轻擦,thread vi.通过；穿透过,install vt.安装；任命；安顿,training n.瞄准；整枝
tail n.辫子；燕尾服,graze vi.吃草；擦伤,timely adj.及时的；适时的,mislead vt.误导；带错,training v.训练；教养（train的ing形式）
tail adj.尾部的；从后面而来的,graze vt.放牧；擦伤,timely adv.早；及时地,prolong vt.延长；拖延,triangle n.三角关系；三人一组
tail vt.尾随；装上尾巴,grope n.摸索；触摸,vanity n.空虚；浮华,radiate adj.有射线的,triangle n.三角（形）；三角形之物
tail vi.跟踪；变少或缩小,grope vt.摸索,vanity n.虚荣心；无价值的东西,radiate vi.辐射；流露,tropical adj.热带的；热情的；酷热的
tame adj.驯服的；平淡的,grope vi.摸索；探索,futile adj.无用的；无效的；琐细的,radiate vi.发光；从中心向各方伸展,trousers n.长裤
tame adj.乏味的；顺从的,heave n.举起；起伏,bright n.车头灯光,radiate vt.辐射；传播；流露,turnover n.翻覆；失误；营业额
tame vt.驯养；制服；使变得平淡,heave n.投掷；一阵呕吐,bright adj.鲜明的；聪明的；愉快的,realize vt.实现；了解；变卖,turnover adj.翻过来的；可翻转的
tame vi.变得驯服,heave vt.举起；投掷；恶心,bright adv.明亮地；光明地；欢快地,smuggle vt.走私；偷运,umbrella n.雨伞；庇护
tape n.胶带；磁带,heave vi.起伏；举起,revolt n.反抗；叛乱；反感,smuggle vi.私运；偷带,umbrella n.保护伞；伞形结构
tape n.带子；卷尺,heave vi.喘息；呕吐,revolt vt.使反感；使恶心,startle n.惊愕；惊恐,vacation n.假期；（房屋）搬出
tape vt.录音；用带子捆扎；用胶布把…封住,hoist n.吊起；起重机,revolt vi.反抗；反叛；厌恶,startle vt.使惊奇；使吓一跳,vacation vi.度假
tape vi.用磁带录音,hoist vt.起重机等）使升起,resist n.抗蚀剂；防染剂,startle vi.惊吓；惊跳；惊奇,velocity n.速度
test n.试验；检验,hoist vi.升起；吊起,resist vt.抵抗；忍住,stumble n.绊倒；蹒跚而行,vicinity n.附近；近处
test vt.试验；测试,merge vt.合并；吞没；使合并,resist vi.抗拒；忍耐,stumble vi.蹒跚；失足；犯错,wardrobe n.衣柜；行头；全部戏装
test vi.试验；测试,merge vi.合并；融合,offend vt.冒犯；使…不愉快,stumble vt.使…困惑；使…绊倒,workshop n.车间；工场
tick n.扁虱；记号,ought aux.应当；大概,offend vi.违反；进攻；引起不舒服,suffice vt.合格；使满足；足够…用,workshop n.研讨会；讲习班
tick n.赊欠；滴答声,ought vi.应当；大概,abound vi.富于；充满,suffice vi.足够；有能力,adjacent adj.毗连的
tick vt.标记号于；滴答地记录,pinch n.匮乏；少量；夹痛,adjoin vt.邻接,trickle n.淌；细流,alarmist n.杞人忧天者；大惊小怪者
tick vi.标以记号；发出滴答声,pinch vt.捏；勒索,adjoin vi.邻接,trickle vt.使…滴；使…淌；使…细细地流,alarmist adj.忧虑的；危言耸听的
tidy n.椅子的背罩,pinch vt.修剪；使苦恼,attain n.成就,trickle vi.滴；细细地流；慢慢地移动,artistic adj.艺术的；风雅的；有美感的
tidy adj.整齐的；相当大的,pinch vi.夹痛；节省,attain vt.实现；获得；到达,animate adj.有生命的,cardinal adj.基本的；深红色的
tidy vi.整理；收拾,prick n.扎；锥,attain vi.达到；获得；到达,animate vt.鼓舞；推动,cardinal n.鲜红色；红衣主教
tidy vt.整理；收拾；弄整齐,prick n.刺伤；阴茎,baffle n.挡板；困惑,animate vt.使活泼；使有生气,cardinal n.枢机主教；(北美)主红雀
tilt n.倾斜,prick vt.戳；刺痛；竖起,baffle vt.使…困惑；使…受挫折；用挡板控制,bandage n.绷带,childish adj.孩子气的
tilt vt.使倾斜；使翘起,prick vi.刺；竖起,baffle vi.做徒劳挣扎,bandage vt.用绷带包扎,circular n.传单
tilt vi.倾斜；翘起；以言词或文字抨击,prick adj.竖起的,banish vt.放逐；驱逐,beneath prep.在…之下,circular adj.循环的；圆形的；间接的
trek n.艰苦跋涉,recur vi.复发；重现；采用,beware vt.当心；提防,beneath adv.在下方,cohesive adj.凝聚的；有结合力的
trek vi.艰苦跋涉,repel vt.击退；抵制,beware vi.小心,captain n.首领；船长,cohesive adj.紧密结合的；有粘着力的
trek vt.搬运；（牛）拉（货车）,repel vt.使厌恶；使不愉快,bypass n.旁路；支路,captain n.上尉；海军上校,delicate adj.微妙的；雅致的；柔和的
tune n.曲调；和谐；心情,shear n.切变；修剪；大剪刀,bypass vt.绕开；忽视,captain vt.指挥；率领,delicacy n.美味；佳肴；微妙
tune vt.调整；使一致；为…调音,shear vi.剪；剪切；修剪,bypass vt.迂回；设旁路,cluster n.群；簇,delicacy n.精密；精美
tune vi.调谐；协调,shear vt.剪；修剪；剥夺,deduct vt.减去；演绎,cluster n.丛；串,delicacy n.敏感；圆滑
vest n.背心；汗衫,shove n.推；挤,denote vt.指示,cluster vt.使聚集；聚集在某人的周围,electric n.电；带电体；电气车辆
vest vt.授予；使穿衣,shove vt.挤；撞,deport vt.举止；放逐；驱逐出境,cluster vi.群聚；丛生,electric adj.电的；电动的；发电的
vest vi.归属；穿衣服,shove vt.强使；猛推,dinner n.晚宴；宴会；正餐,commute n.通勤（口语）,electron n.电子
void n.空虚；空间；空隙,shrug n.耸肩,elapse n.流逝；时间的过去,commute vt.减刑；交换,eloquent adj.动人的；有口才的
void adj.空的；无效的；无人的,shrug vi.耸肩,elapse vi.消逝；时间过去,commute vt.用……交换；使……变成,eloquent adj.意味深长的；有说服力的
void vt.排放；使无效,shrug vt.耸肩表示,enlist vt.征募；使入伍；谋取…的赞助或帮助,commute vi.代偿；（搭乘车、船等）通勤,feminine adj.女性的；阴性的
wait n.等待；等候,spill n.溅出；摔下,enlist vi.支持；从军,cripple n.跛子；残废,feminine adj.娇柔的；妇女（似）的
wait vi.等待；耽搁；伺候用餐,spill n.溢出量；小塞子,enlist vi.应募；赞助,cripple vt.削弱；使跛；使残废,fragrant adj.芳香的；愉快的
wait vt.等候；推迟；延缓,spill vi.流出；摔下；涌流,enrich vt.使充实；使肥沃；使富足,cripple adj.跛的；残废的,handsome adj.可观的；慷慨的
weed n.野草；菸草,spill vt.使流出；使摔下,forbid vt.禁止；不准,darling n.亲爱的；心爱的人,handsome adj.健美而端庄的；（男子）英俊的
weed vt.除草；铲除,stoop n.屈背；屈服,forbid vt.严禁；不允许,decimal n.小数,immature adj.粗糙的；不成熟的；未成熟的
weed vi.除草,stoop vt.堕落；俯曲,harden vi.变坚固；变坚强；变冷酷,decimal adj.小数的；十进位的,imperial n.特等品；纸张尺寸
wide n.大千世界,stoop vi.弯腰；屈服；堕落,harden vt.使…变硬；使…坚强,default n.违约；缺席,imperial adj.帝国的；皇帝的
wide adj.广泛的；广阔的,audit n.审计；查账,harden vt.使…冷酷；使…麻木不仁,default n.缺乏；系统默认值,imperial adj.威严的；至高无上的
wide adj.张大的；远离目标的,audit vt.（美）旁听,hijack n.劫持；威逼；敲诈,default vt.不履行；不参加（比赛等）；对…处以缺席裁判,infrared n.红外线
wide adv.广泛地；广阔地；充分地,audit vi.审计；查账,hijack vt.抢劫；揩油,default vi.拖欠；不履行；不到场,infrared adj.红外线的
wire n.电线；电报；金属丝,avail vi.有益于；使对某人有利。,hijack vi.拦路抢劫,dislike n.不喜爱,literary adj.文学的；书面的；精通文学的
wire vt.拍电报；给…装电线,avail vt.有益于；使对某人有利。,huddle n.拥挤；混乱；杂乱一团,dislike vt.厌恶,medieval adj.原始的；老式的
wire vi.打电报,avail n.利益,huddle vt.草率了事；使缩成一团；把...挤在一起,eclipse n.月蚀；黯然失色,medieval adj.中世纪的；仿中世纪的
yawn n.哈欠；裂口,bathe n.洗澡；游泳,huddle vi.蜷缩；挤作一团,eclipse vt.形成蚀；使黯然失色,obsolete adj.废弃的；老式的
yawn vt.张开；打著哈欠说,bathe vt.沐浴；用水洗,impart vt.传授；透露,fatigue n.疲乏；杂役,obsolete n.废词；陈腐的人
yawn vi.裂开；打哈欠,bathe vi.洗澡；沐浴,inject vt.注入；注射,fatigue adj.疲劳的,obsolete vt.淘汰；废弃
yell n.叫声,blast n.爆炸；一阵；冲击波,kidnap vt.绑架；诱拐；拐骗,fatigue vt.使疲劳；使心智衰弱,orthodox adj.正统的；传统的
yell vi.叫喊,blast vt.爆炸；损害；使枯萎,merger n.并购；（企业等的）合并；吸收（如刑法中重罪吸收轻罪）,fatigue vi.疲劳,orthodox adj.惯常的；东正教的
yell vt.喊叫着说,blast vi.猛攻,mingle vi.混合；交往,harvest n.收获；产量；结果,orthodox n.正统的人；正统的事物
acre n.地产；英亩,blend n.混合；掺合物,mingle vt.使混合；使相混,harvest vt.收割；得到,outgoing adj.开朗的；外出的
atom n.原子,blend vi.混合；协调,notify vt.通知；公布,harvest vi.收割庄稼,outgoing adj.即将离职的；乐于助人的
axis n.轴；轴线；轴心国,blend vt.混合,preach n.说教,illness n.病；疾病,outgoing n.外出；流出；开支
bait n.饵；诱饵,blind n.借口；百叶窗,preach vt.说教；讲道；鼓吹,marxist n.马克思主义者,outgoing v.超过；优于（outgo的ing形式）
bait vt.引诱；折磨；在…中放诱饵,blind adj.瞎的；盲目的,preach vi.说教；讲道,marxist adj.马克思主义的,pathetic adj.悲哀的；感伤的；乏味的
bait vi.中途休息,blind vt.使失明；使失去理智,preach vi.鼓吹；宣扬,million n.百万；无数,pregnant adj.怀孕的；富有意义的
bank n.岸；银行,blind adv.盲目地；看不见地,quench vt.淬火；解渴,million adj.百万的；无数的,radiance n.辐射；光辉
bank n.浅滩；储库,blink n.眨眼；瞬间；闪光,quench vt.结束；冷浸,million num.百万,radiance n.发光；容光焕发
bank vt.倾斜转弯；将…存入银行,blink vt.眨眼；使…闪烁,quench vi.熄灭；平息,monthly adj.每月一次的；有效期为一个月的,rigorous adj.严厉的；严密的；严酷的
bank vi.堆积；倾斜转弯,blink vi.眨眼；闪烁,recede vi.后退；减弱,monthly n.月刊,snobbish adj.势利的
barn n.谷仓；畜棚,blush n.脸红；红色；羞愧,recede vt.撤回,monthly adv.每月一次,spacious adj.广阔的；无边无际的
barn n.车库；靶（核反应截面单位）,blush vt.使成红色；红著脸表示,resent vt.怨恨；愤恨；厌恶,mystery n.谜；秘诀,stagnant adj.停滞的；污浊的
barn vt.把…贮存入仓,blush vi.脸红；感到惭愧,squash n.壁球；挤压；咯吱声,mystery n.推理剧；神秘的事物,stagnant adj.迟钝的；不景气的
bean n.豆；嘴峰；毫无价值的东西,brace n.支柱；曲柄；大括号,squash vt.镇压；使沉默；把…压扁,nursery n.苗圃；温床；托儿所,tranquil adj.平静的；安宁的；稳定的
bean vt.击…的头部,brace vt.支撑；激励,squash vi.挤入；受挤压；发出挤压声,opening n.开始；机会,unlikely adj.没希望的；不太可能的
bell n.钟；铃声；钟状物,brace vt.撑牢；振作起来,starve vi.饿死；挨饿；渴望,opening n.通路；空缺的职位,unlikely adv.未必
bell vt.系铃于,brace adj.曲柄的,starve vt.使饿死；使挨饿,opening adj.开始的,hitherto adv.迄今；至今
bell vi.鸣钟；成钟状鼓起,brace vi.支持；打起精神,summon vt.召唤；召集,opening v.打开；公开；开放（open的ing形式）,nowadays adv.现今；时下
body n.身体；主体；大量,brake n.刹车；阻碍,summon vt.鼓起；振作,overlap n.重叠；重复,nowadays n.当今
body vt.赋以形体,brake vt.刹车,unload vt.卸；倾销；摆脱…之负担,overlap vi.部分重叠；部分的同时发生,whenever conj.每当；无论何时
bone n.骨；骨骼,brake vi.刹车,unload vi.卸货；退子弹,overlap vt.与…重叠；与…同时发生,whenever adv.不论何时；随便什么时候
bone vt.施骨肥于；剔去...的骨,break vi.打破；折断,aboard prep.在…上,painter n.画家；油漆匠,wherever conj.无论在哪里；无论什么情况下
bone vi.苦学；专心致志,break vi.弄坏；削弱,aboard adv.在船上；在飞机上；在火车上,partial adj.局部的；偏爱的；不公平的,wherever adv.究竟在哪里；无论什么地方
boot n.踢；靴子；汽车行李箱,break vt.开始；（使）破,absent adj.缺席的；缺少的,passive n.被动语态,downtime n.故障停机时间；待料等的）停工期
boot vt.踢；引导,break vt.打破（纪录）；（常指好天气）突变,absent adj.茫然的；心不在焉的,passive adj.消极的；被动语态的,plumbing n.铅工业；铅管品制造
boot vt.解雇；使穿靴,break vi.突破；破晓,absent vt.使缺席,patient n.病人；患者,plumbing v.探究；垂直悬挂
bowl n.碗；木球；大酒杯,break vi.（嗓音）突变；（价格）突然下跌,addict n.有瘾的人；入迷的人,patient adj.能容忍的,plumbing v.用铅锤测量；灌铅以增重（plumb的现在分词）
bowl vt.投球；旋转；平稳快速移动,break n.破裂；间断,addict vt.使沉溺；使上瘾,perfume n.香水；香味,seamless adj.无缝的；无伤痕的；无缝合线的
bowl vi.滑动；玩保龄球；平稳快速移动,break n.间歇；（持续一段时间的状况的）改变,anchor n.锚；靠山,perfume vt.洒香水于…；使…带香味,engender vt.造成；使产生
brow n.额；眉毛；表情,bully n.土霸；欺凌弱小者,anchor n.抛锚停泊；新闻节目主播,perfume vi.散发香气,engender vi.产生；引起
bulb n.鳞茎；电灯泡；球状物,bully vt.欺负；威吓,anchor adj.末棒的；最后一棒的,plaster n.石膏；灰泥；膏药,confound vt.挫败；讨厌
bulb vi.生球茎；膨胀成球状,bully adj.特好的；第一流的,anchor vt.抛锚；使固定；主持节目,plaster vt.减轻；粘贴；使平服,confound vt.使混淆；使混乱
bull n.公牛；印玺；胡说八道,bully vi.欺侮人,anchor vi.抛锚,preface n.前言；引语,optimize vt.使完善
bull adj.大型的；雄性的；公牛似的,bully adv.很；十分,bounce n.跳；弹力；活力,preface vt.以…开始；为…加序言,optimize vi.优化；持乐观态度
bull vt.吓唬；强力实现；企图抬高证券价格,bully int.好；妙,bounce vt.弹跳；使弹起,preface vi.作序,tailwind n.顺风
bull vi.走运；猛推,chart n.图表；海图,bounce vi.弹跳；反跳；弹回,revenge n.报复；复仇,buzzword n.流行词
bull vi.吹牛；价格上涨,chart n.图纸；排行榜,bridge n.桥；桥牌,revenge vt.报复；洗雪；替…报仇,timeline n.时间线；大事年表
bush n.灌木；矮树丛,chart vt.记录；记述；详细计划,bridge n.船桥；桥接器,revenge vi.报仇；雪耻,pandemic adj.普遍的；（疾病等）（全国、全球i）流行的
bush adj.粗野的；如灌木般长得低矮的,clone n.克隆；无性系,bridge vt.架桥；渡过,royalty n.皇室；版税,pandemic n.流行性疾病
bush vt.以灌木装饰；使…精疲力竭,clone n.无性繁殖；靠营养生殖而由母体分离繁殖的植物,bronze n.青铜；古铜色；青铜制品,royalty n.王权；专利税,undercut n.底切；砍口
bush vi.丛生；浓密地生长,clone vt.复制,bronze adj.青铜色的；青铜制的,shampoo n.洗发；洗发精,undercut n.切球；牛腰部下侧嫩肉
cage n.兽笼；监狱,cough n.咳嗽声；咳嗽病,bronze vt.镀青铜于,shampoo vt.洗发,undercut vt.廉价出售；从下边削球；较便宜的工资工作
cage vt.把…关进笼子；把…囚禁起来,cough vt.咳出,bronze vi.被晒黑,shudder n.发抖；战栗；震动,undercut vi.底切
cape n.岬；披肩,cough vi.咳嗽,bubble n.泡状物；圆形顶,shudder vi.发抖；战栗,commuter n.月季票乘客；经常乘公共车辆往返者
cart n.二轮运货马车,crawl n.爬行；养鱼池；匍匐而行,bubble vt.使冒泡；滔滔不绝地说,shuttle n.穿梭；梭子,culinary adj.厨房的；烹调用的
cart vt.用车装载,crawl vt.爬行；缓慢地行进,bubble vi.冒泡；发出气泡声,shuttle n.航天飞机；穿梭班机、公共汽车等,backfire n.回火
cart vi.驾运货马车；用运货车运送,crawl vi.爬行；匍匐行进,carpet n.地毯；地毯状覆盖物,shuttle vt.短程穿梭般运送；使穿梭般来回移动,backfire vi.放出逆火；预先放火；产生出乎意料及事与愿违的结果
cash n.现金,cream n.乳脂；精华,carpet vt.斥责；把地毯铺在…上,shuttle vi.穿梭往返,confront vt.面对；遭遇；比较
cash vt.将…兑现；支付现款,cream n.面霜；乳酪,ending n.结局；结尾,thirsty adj.口干的；热望的,
cave n.窑洞,cross n.十字；十字形物,export n.出口；出口商品,trumpet n.喇叭；喇叭声,
cave vi.塌落；投降,cross adj.相反的；乖戾的；生气的,export vt.出口,trumpet vt.吹嘘；吹喇叭,
cave vt.使塌落；在…挖洞穴,cross vt.杂交；渡过；使相交,export vi.输出物资,trumpet vi.吹喇叭；发出喇叭般的声音,
cell n.细胞；电池,cross vi.交叉；杂交；横过,gallop n.疾驰；飞奔,upright n.垂直；竖立,
cell n.单人小室；蜂房的巢室,crown n.王冠；花冠,gallop vi.飞驰；急速进行；急急忙忙地说,upright adj.诚实的；直立的,
cell vi.住在牢房或小室中,crown n.王权；顶点,gallop vt.使飞跑；迅速运输,upright adj.笔直的；合乎正道的,
cent n.分；一分的硬币；森特（等于半音程的百分之一）,crown vt.加冕；表彰,hammer n.铁锤；链球,veteran n.老兵；老手,
chap n.家伙；龟裂；小伙子,crown vt.居…之顶；使圆满完成,hammer n.锤骨；音锤,veteran n.老运动员；富有经验的人,
chap vt.使皲裂,curse n.诅咒；咒骂,hammer vi.锤击；敲打；重复,veteran adj.老兵的；经验丰富的,
chap vi.皲裂,curse vt.诅咒；咒骂,hammer vt.锤击；锤打,whistle n.口哨；汽笛；呼啸声,
chef n.大师傅,curse vi.诅咒；咒骂,hollow n.洞；山谷；窟窿,whistle vt.吹口哨；鸣汽笛,
chin n.下巴；聊天；引体向上动作,cycle n.循环；周期；整套,hollow adj.空的；凹的,witness n.证人；证据；目击者,
chin vt.与…聊天；用下巴夹住；在单杠上作引体向上动作,cycle vt.使循环；使轮转,hollow adj.空腹的；虚伪的,witness vt.目击；证明；为…作证,
chin vi.闲谈；作引体向上动作,cycle vi.循环；轮转；骑自行车,hollow vt.使成为空洞,witness vi.作证人,
chip n.芯片；筹码；碎片,debut n.开张；初次登台,hollow adv.彻底地；无用地,wrinkle n.皱纹,
chip vt.凿；削成碎片,debut vi.初次登台,hollow vi.形成空洞,wrinkle vi.起皱,
chip vi.剥落；碎裂,drill n.训练；钻子,import n.输入；含义,wrinkle vt.使起皱纹,
claw n.爪；钳；爪形器具,drill n.钻孔机；播种机,import n.进口货；重要性,abdomen n.腹部；下腹；腹腔,
claw vi.用爪抓（或挖）,drill vt.钻孔；训练；条播,import vt.进口；含…的意思,academy n.学院；学会,
claw vt.用爪抓（或挖）,drill vi.钻孔；训练,import vi.进口,academy n.研究院；专科院校,
clay n.粘土；泥土,drive n.驾车；驱动器,inland n.内地；内陆,acrobat n.善变者；特技演员；随机应变者,
clay n.肉体；似黏土的东西,drive n.推进力；快车道,inland adj.内陆的；内地的；国内的,airport n.机场；航空站,
clay vt.用黏土处理,drive vi.开车；猛击；飞跑,inland adv.在内地；向内地,analyze vt.分解（等于analyse）,
coal n.煤；煤块；木炭,drive vt.驱赶；汽车等）；发动（机器等）,inland adv.向内陆；在内陆,antenna n.天线；触须,
coal vt.给…加煤；把…烧成炭,drunk v.喝酒（drink的过去分词）,latter adj.后者的；近来的,athlete n.体育家；身强力壮的人,
coal vi.上煤；加煤,drunk adj.喝醉了的,latter adj.后面的；较后的,baggage n.行李；辎重（军队的）,
cock n.公鸡；龙头,dwarf n.矮子,liquid adj.液体的；清澈的,balcony n.阳台；包厢；戏院楼厅,
cock n.雄鸟；头目,dwarf adj.矮小的,liquid adj.明亮的；易变的,banquet n.盛宴；款待,
cock vt.使竖起；使耸立；使朝上,dwarf vi.变矮小,liquid n.流体；流音,banquet vt.设宴款待,
cock vi.翘起；竖起；大摇大摆,dwarf vt.使矮小,litter n.垃圾；担架,banquet vi.参加宴会,
coke n.可口可乐（等于Coca-Cola）,elbow n.肘部；弯头；扶手,litter n.凌乱；一窝（动物的幼崽）,bearing n.轴承；关系,
cord n.绳索；束缚,elbow vt.推挤；用手肘推开,litter vt.乱丢；给…垫褥草；把…弄得乱七八糟,bearing n.方位；举止,
cord vt.用绳子捆绑,feast n.宴会；节日,litter vi.产仔；乱扔废弃物,bearing v.忍受（bear的ing形式）,
corn n.鸡眼；（美）玉米；（英）谷物,feast vt.享受；宴请,lumber vi.伐木；缓慢地移动；喧闹地向前走,biology n.生物学；（一个地区全部的）生物,
corn vt.腌；使成颗粒,feast vi.享受；参加宴会,lumber vt.乱堆；砍伐木材,biscuit n.饼干,
crop n.产量；庄稼,flock n.群；棉束（等于floc）,lumber n.木材；隆隆声；无用的杂物,bowling n.滚木球戏；保龄球戏,
crop n.平头；农作物,flock vi.聚集；成群而行,manual adj.手工的；体力的,bowling v.打保龄球（bowl的现在分词）,
crop vt.种植；收割,flock vt.用棉束填满,manual n.指南,bracket n.支架；括号；墙上凸出的托架,
crop vt.修剪；剪短,fluid n.流体；液体,mirror n.镜子；榜样；真实的写照,bracket vt.排除；括在一起；把…归入同一类,
crop vi.收获,fluid adj.流动的；流畅的；不固定的,mirror vt.反射；反映,burglar n.窃贼,
crow n.乌鸦；鸡鸣；撬棍,flush n.洋溢；面红；萌芽,nearby adj.邻近的,cabbage n.洋白菜；（俚)脑袋,
crow vi.啼叫；报晓,flush adj.大量的；齐平的,nearby adv.在附近,cabbage n.尤指纸币（常用于美式俚语）；（非正式、侮辱）植物人（常用于英式英语）,
cube n.立方；骰子；立方体,flush adj.洋溢的；挥霍的,nearby prep.在…附近,calorie n.卡路里（热量单位）,
cube vt.使成立方形；使自乘二次；量…的体积,flush vt.使齐平；使发亮,orphan adj.孤儿的；无双亲的,canteen n.水壶；小卖部,
dean n.院长；系主任,flush vt.使激动；用水冲洗,orphan n.孤儿,cashier n.司库；出纳员；收银员,
dean n.教务长；主持牧师,flush vi.脸红；奔涌；被冲洗,orphan vt.使成孤儿,cashier vt.解雇；抛弃,
debt n.债务；借款；罪过,front n.前面；正面；前线,outfit n.机构；用具；全套装备,ceiling n.上限；天花板,
deck n.甲板；行李仓；露天平台,front adj.前面的；正面的,outfit vi.得到装备,chemist n.化学家；药剂师,
deck vt.装饰；打扮；装甲板,front vt.面对；朝向；对付,outfit vt.配备；供应,chemist n.炼金术士；化学工作者,
dish n.盘；餐具,front vi.朝向,patent n.执照；专利权；专利品,chimney n.烟囱,
dish n.一盘食物；外貌有吸引力的人,front adv.向前；在前面,patent adj.专利的；新奇的；显然的,clarity n.明晰；透明,
dish vt.分发；盛于碟盘中,gleam n.微光；闪光；瞬息的一现,patent vt.授予专利；取得…的专利权,cocaine n.可卡因,
dish vt.使某人的希望破灭；说（某人）的闲话,gleam vt.使闪烁；使发微光,patrol n.巡逻；巡逻队；侦察队,colonel n.陆军上校,
dish vi.闲谈；成碟状,gleam vi.闪烁；隐约地闪现,patrol vt.巡逻；巡查,compass n.罗盘；圆规,
dock n.码头；船坞,grade n.年级；等级；成绩,patrol vi.巡逻；巡查,compass vt.包围,
dock n.被告席；尾巴的骨肉部分,grade vt.评分；把…分等级,pickup n.整理；拾起；小卡车,costume n.装束；剧装,
dock vt.剪短；使靠码头,grade vi.分等级；逐渐变化,picnic n.野餐,costume vt.给…穿上服装,
dock vi.入船坞,guest n.宾客；顾客,picnic vi.去野餐,cottage n.小屋；村舍；（农舍式的）小别墅,
dorm n.宿舍（等于dormitory）,guest adj.客人的；客座的,plenty n.大量；充足,cricket n.蟋蟀；板球运动,
dose n.剂量；一服,guest vt.招待,plenty adj.很多的,crystal n.晶体；水晶；水晶饰品,
dose vt.给药；给…服药,guest vi.寄宿,plenty adv.足够,crystal adj.水晶的；清澈的,
dose vi.服药,input n.投入；输入电路,plough n.犁；耕地（等于plow）,culture n.文明；修养；栽培,
dove n.鸽子；鸽派人士,input vt.输入；将…输入电脑,plough vi.开路；用犁耕田,culture vt.培养（等于cultivate）,
dove v.潜水（dive的过去式）,joint n.关节；接缝,plough vt.犁；耕,curtain n.幕；窗帘,
drum n.鼓；鼓声,joint n.接合点；羊等的腿）大块肉,plural n.复数,curtain vt.遮蔽；装上门帘,
drum vi.击鼓；大力争取,joint adj.共同的；连接的；合办的,plural adj.复数的,daytime n.白天,
drum vt.击鼓；大力争取,joint vt.贴合；接合；使有接头,pocket n.钱；口袋；容器,deficit n.赤字；不足额,
dusk n.薄暮；昏暗,joint vi.贴合；生节,pocket adj.袖珍的；金钱上的,dentist n.牙科医生,
dusk vt.使变微暗,latin adj.拉丁语的；拉丁人的,pocket vt.隐藏；忍受；将…放入衣袋,dessert n.甜点心；餐后甜点,
dusk adj.微暗的,latin n.拉丁语；拉丁人,pocket vi.形成袋或囊,diagram n.图表；图解,
dusk vi.变微暗,lease n.租约；租期,powder n.粉；粉末,diagram vt.用图解法表示,
fare n.票价；费用,lease n.租赁物；租赁权,powder n.火药；尘土,dialect n.土话；行话,
fare n.旅客；食物,lease vt.出租；租得,powder vt.撒粉；搽粉于；使成粉末,dialect n.同源语；个人用语特征,
fare vi.经营；进展,lease vi.出租,powder vi.搽粉；变成粉末,dialect adj.方言的,
fare vi.遭遇；过活,local n.局部；当地居民；本地新闻,priest n.牧师；神父；教士,diamond n.菱形；金刚石；方块牌,
feat n.壮举；技艺表演,local adj.当地的；局部的,priest vt.任命…为祭司；使成为神职人员,diamond adj.菱形的；金刚钻的,
feat adj.合适的；灵巧的,local adj.乡土的；地方性的,public n.公众；社会；公共场所,dioxide n.二氧化物,
fist n.拳头；笔迹,lodge n.旅馆；门房,public adj.公众的；政府的,diploma n.文书；奖状；学位证书,
fist n.掌握；指标参见号,lodge n.集会处；山林小屋,public adj.公用的；公立的,diploma vt.发给…毕业文凭,
fist vt.紧握；握成拳；用拳打,lodge vt.提出；寄存,purple n.紫色；紫袍,doorway n.门口；途径,
foam n.泡沫；水沫；灭火泡沫,lodge vt.借住；嵌入,purple adj.紫色的；帝王的；华而不实的,drought n.干旱；缺乏,
foam vt.使起泡沫；使成泡沫状物,lodge vi.寄宿；临时住宿,purple vt.使成紫色,ecology n.生态学；社会生态学,
foam vi.起泡沫；吐白沫；起着泡沫流动,lyric adj.抒情的；吟唱的,purple vi.变成紫色,embassy n.大使馆；大使馆全体人员,
fork n.叉；耙；餐叉,lyric n.歌词；抒情诗,recess n.休息；休会；凹处,emperor n.君主,
fork vt.叉起；使成叉状,minus prep.减去,recess vt.使凹进；把…放在隐蔽处,equator n.赤道,
fork vi.分叉；分歧,minus n.减号；不足；负数,recess vi.休息；休假,excerpt n.引用,
